,no_of_observations,alpha,x_min,x_min_relative,cutoff_position,types,% of Zipfian types (?),category,tail_types (długość ogona - typy),proc.ogona,Tail_tokens,% tokenów zipfowskich
prep_count.txt,"28,787,398",1.135071190305,3,1.04212266770342e-07,93,95,97.89473684,pos,2,2.105263158,5,0.00001736871113
conj_count.txt,"10,455,657",1.20548423766808,72,6.88622436638845e-06,47,58,81.03448276,pos,11,18.96551724,101,0.0009659842514
comp_count.txt,"4,145,149",1.19530604087432,33,7.96111309870888e-06,41,47,87.23404255,pos,6,12.76595745,68,0.00164047179
qub_count.txt,"14,535,763",1.26524064099726,122,8.39309226491929e-06,142,187,75.93582888,pos,45,24.06417112,1170,0.008049113074
num_count.txt,"1,629,445",1.43115407503,826,0.000506921068216479,54,81,66.66666667,pos,22,27.16049383,1940,0.1190589434
brev_count.txt,"2,202,522",1.41762604526731,783,0.000355501556851646,84,138,60.86956522,pos,54,39.13043478,9814,0.4455801123
adjp_count.txt,"101,343",1.59992003391234,3,2.96024392409935e-05,288,714,40.33613445,pos,426,59.66386555,643,0.6344789477
subst_count.txt,"81,321,776",1.831029776,1842,2.27E-05,5430,30716,17.67808308,pos,25286,82.32191692,571872,0.7032212381
jeden_control_count.txt,"298,501,849",1.55071769146931,9,3.01505670070406e-08,182471,1516137,12.03525803,ngram,1333666,87.96474197,2474938,0.8291198223
dwa_count.txt,"149,878,124",1.637968422,708,4.72E-06,10788,111434,9.68106682,ngram,100646,90.31893318,5365714,3.580051482
trzy_count.txt,"99,856,991",2.082407174,931,9.32E-06,14767,2200923,0.6709457805,ngram,2186156,99.32905422,39516061,39.57265346
cztery_count.txt,"74,846,316",1.911119756,2,2.67E-08,3069807,11971777,25.64203292,ngram,8901970,74.35796708,10608840,14.17416456
piec_count.txt,"59,839,381",2.565810005,103,1.72E-06,22817,28023188,0.08142185679,ngram,28000371,99.91857814,53165154,88.84643041
szesc_count.txt,"49,834,929",2.58862179,6,1.20E-07,315082,38146556,0.8259775797,ngram,37831474,99.17402242,43664631,87.61852756
